timestep,aqi,voltage,energy,wind_speed,concentration
100,57.73019416342359,1.9439999999999995,139.69439999999994,1.9439999999999995,15.386241050232178
200,54.249521366464975,2.1734999999999998,182.44619999999995,2.1734999999999998,14.295063461648219
300,50.11451874651089,2.45,233.97840000000005,2.45,12.89352118237909
400,50.455265862365614,2.421,224.71559999999997,2.421,12.804254467417731
500,48.99425168194762,2.5172000000000003,242.89488000000003,2.5172000000000003,12.334917798375391
600,47.60082310007529,2.6031666666666666,258.38460000000003,2.6031666666666666,11.903845031369773
700,45.87166421504576,2.7278571428571428,284.5332000000001,2.7278571428571428,11.420325829341012
800,44.67105661067324,2.8058750000000003,299.59695000000005,2.8058750000000003,11.080789202075355
900,46.23875194133379,2.7031111111111112,280.732,2.7031111111111112,11.605897416668228
1000,47.889179697756425,2.6086000000000005,264.59136000000007,2.6086000000000005,12.223286177569403
1100,67.9127056446193,1.8019999999999996,130.01039999999995,1.8019999999999996,19.956955503083712
1200,60.12431467663691,2.184,197.0784,2.184,17.283686830213764
1300,53.32499554158285,2.493666666666667,249.96600000000007,2.493666666666667,14.700566468527155
1400,50.732620818689014,2.5835000000000004,261.39060000000006,2.5835000000000004,13.601253796466818
1500,49.24319403317384,2.632,266.97312,2.632,12.95654517828913
1600,47.89622484043168,2.6863333333333337,275.12880000000007,2.6863333333333337,12.443576136976443
1700,48.99455384069455,2.596428571428571,257.9250857142858,2.596428571428571,12.72044543066406
1800,49.230220394639765,2.5657500000000004,250.84890000000007,2.5657500000000004,12.698629451530364
1900,50.012396785882906,2.5074444444444444,240.14920000000004,2.5074444444444444,12.92601818432645
2000,50.000620707908396,2.4988999999999995,237.86100000000002,2.4988999999999995,12.879010872725194
2100,45.17016764056994,2.7100000000000004,268.48080000000004,2.7100000000000004,10.93430269705161
2200,56.75081789438516,2.09,174.18599999999998,2.09,15.637796326618338
2300,59.10737808611774,1.9509999999999994,151.17719999999997,1.9509999999999994,16.49923388686701
2400,64.13985345028976,1.7724999999999995,128.08259999999996,1.7724999999999995,18.721115263364098
2500,63.49925180235195,1.7789999999999992,126.98855999999994,1.7789999999999992,18.349050626004455
2600,65.22587605683628,1.7393333333333325,122.77679999999995,1.7393333333333325,19.11254163410398
2700,64.85988339493377,1.7324285714285705,120.27445714285707,1.7324285714285705,18.90308090202495
2800,64.17511679828314,1.7757499999999993,126.37889999999994,1.7757499999999993,18.585177117295103
2900,63.50213053882468,1.7951111111111104,128.13679999999994,1.7951111111111104,18.251377045760943
3000,63.233730498266816,1.8043999999999993,129.18671999999995,1.8043999999999993,18.127278676618324
3100,59.071137223169316,1.9619999999999993,148.32719999999998,1.9619999999999993,16.194482354010063
3200,55.3165361137181,2.142,172.34279999999998,2.142,14.452984059195087
3300,54.49757670159512,2.175,175.42919999999998,2.175,13.988698224799656
3400,57.467247703798314,2.04125,157.56749999999997,2.04125,15.341751781371045
3500,63.94659051602939,1.8665999999999994,137.23127999999997,1.8665999999999994,19.05489945979737
3600,65.70323587506124,1.800666666666666,129.12959999999995,1.800666666666666,19.726557651612595
3700,65.65486106694324,1.7768571428571425,125.35302857142852,1.7768571428571425,19.62225946249568
3800,65.59211399209215,1.7558749999999992,121.92884999999995,1.7558749999999992,19.53072388820813
3900,66.0097792648774,1.739333333333333,119.83279999999993,1.739333333333333,19.663868591856964
4000,65.8988577466927,1.7243999999999995,117.13895999999995,1.7243999999999995,19.568467739068428
4100,68.37597079731422,1.6439999999999992,106.58879999999994,1.6439999999999992,20.274301751085165
4200,65.03242346928515,1.7724999999999995,129.29939999999996,1.7724999999999995,19.136135523737686
4300,56.74537745081942,2.1906666666666665,196.33200000000002,2.1906666666666665,15.971126515602828
4400,54.281069091095844,2.295,208.9062,2.295,14.791124761874947
4500,52.762515685188774,2.3587999999999996,216.94464000000002,2.3587999999999996,14.091985564197971
4600,51.69002158507865,2.403833333333333,222.4446,2.403833333333333,13.599204707891232
4700,50.67021877225551,2.4517142857142855,229.4300571428572,2.4517142857142855,13.18351447799479
