#{"t_start": 1748204247.303221, "env_id": "None"}
r,l,t
47.116901,160,5.184795
65.402819,160,5.202426
75.200318,160,5.219175
83.283263,160,5.235875
84.769771,160,5.252775
87.759356,160,5.268678
68.24318,160,5.284475
90.126364,160,5.301241
93.813509,160,5.318063
77.182625,160,5.334569
94.522612,160,5.351267
74.876525,160,5.367946
98.772545,160,5.384761
90.889356,160,5.410121
56.187916,160,5.426638
97.098736,160,5.442939
79.362985,160,5.459433
88.363398,160,5.476096
100.896143,160,5.492642
67.846655,160,5.509255
103.872041,160,5.529194
103.872041,160,5.541896
103.872041,160,5.554601
103.872041,160,5.567816
103.872041,160,5.581083
71.289068,160,5.601192
93.645304,160,5.618706
82.540542,160,5.635353
85.742772,160,5.651848
72.832066,160,5.66872
88.787069,160,5.685731
90.423894,160,5.709982
88.918573,160,5.72703
55.254916,160,5.744073
77.943582,160,5.760437
83.121803,160,5.777138
55.419535,160,5.793989
85.447661,160,5.810988
72.113956,160,5.828584
63.529437,160,5.845657
61.810684,160,5.862465
54.18153,160,5.878625
77.912545,160,5.894976
88.218771,160,5.919651
67.62194,160,5.936657
75.385944,160,5.953334
82.070352,160,5.969633
69.618716,160,5.98609
75.427342,160,6.00301
91.889669,160,6.019925
101.244391,160,6.036079
79.674538,160,6.054098
92.419782,160,6.070397
88.158968,160,6.087833
88.097198,160,6.104544
92.42418,160,6.121762
103.872041,160,6.139343
103.872041,160,6.1535
103.872041,160,6.167007
103.872041,160,6.180272
103.872041,160,6.194548
47.619863,160,6.224975
64.423049,160,6.241944
81.500384,160,6.259425
68.754715,160,6.276272
79.910161,160,6.292547
67.93444,160,6.308703
87.92983,160,6.325324
65.513343,160,6.342017
83.289232,160,6.359059
79.442842,160,6.375999
92.119718,160,6.392498
86.526873,160,6.409105
82.391019,160,6.425792
81.470617,160,6.450487
80.894473,160,6.467954
78.212145,160,6.484905
85.532585,160,6.501065
73.885976,160,6.517155
67.953844,160,6.533862
87.245038,160,6.550159
60.880974,160,6.567536
68.056322,160,6.584565
97.914953,160,6.601353
74.482353,160,6.61832
90.822765,160,6.635401
80.204606,160,6.662879
69.18478,160,6.681879
82.830459,160,6.699976
86.171489,160,6.718207
79.198661,160,6.735782
96.794252,160,6.753183
103.872041,160,6.774751
103.872041,160,6.788315
103.872041,160,6.80145
103.872041,160,6.815024
103.872041,160,6.827873
75.442918,160,6.848959
81.015824,160,6.865554
100.544522,160,6.883435
75.917453,160,6.900022
94.50904,160,6.916762
85.231905,160,6.933676
83.922283,160,6.950393
48.632552,160,6.975428
82.897338,160,6.993446
59.381507,160,7.010041
85.885982,160,7.026663
93.467453,160,7.043606
87.343833,160,7.060761
90.135887,160,7.077915
88.796914,160,7.095524
77.280031,160,7.112041
77.51234,160,7.12899
84.402235,160,7.145685
91.137936,160,7.161936
77.312673,160,7.178359
84.156922,160,7.203979
56.938436,160,7.220473
62.640409,160,7.237208
65.832339,160,7.25412
97.405393,160,7.270911
73.10656,160,7.287526
91.628295,160,7.305452
91.8234,160,7.321682
82.291821,160,7.338825
86.380147,160,7.355871
80.279469,160,7.37202
103.872041,160,7.389579
103.872041,160,7.403429
103.872041,160,7.416509
103.872041,160,7.429286
103.872041,160,7.441976
62.219785,160,7.461902
85.595821,160,7.486703
101.278388,160,7.503142
93.46363,160,7.521214
85.707999,160,7.538154
72.05728,160,7.554411
75.034666,160,7.571114
74.934189,160,7.58779
89.411521,160,7.604535
89.775506,160,7.63226
64.82773,160,7.650547
88.263282,160,7.667246
86.350198,160,7.683283
77.318563,160,7.699498
87.539218,160,7.725408
86.242427,160,7.741934
83.328315,160,7.758423
86.998365,160,7.774952
89.528558,160,7.791483
81.126833,160,7.808109
83.983976,160,7.825338
87.252742,160,7.84211
74.33503,160,7.85857
80.079117,160,7.875345
90.767303,160,7.892197
85.896134,160,7.909091
84.104451,160,7.925906
81.741042,160,7.952422
87.033666,160,8.025144
85.823905,160,8.042948
82.994037,160,8.059282
103.872041,160,8.077915
103.872041,160,8.090693
103.872041,160,8.10361
103.872041,160,8.116469
103.872041,160,8.129281
79.128096,160,8.150754
52.292731,160,8.166983
94.498737,160,8.183303
81.380233,160,8.199826
94.500419,160,8.216472
74.640487,160,8.233103
70.939836,160,8.250695
89.297566,160,8.267081
83.020266,160,8.282978
68.675501,160,8.307977
82.296837,160,8.324808
86.906475,160,8.342156
72.157788,160,8.359496
94.521515,160,8.37564
80.440544,160,8.391985
87.680347,160,8.408331
78.114947,160,8.424566
97.145883,160,8.440969
81.452748,160,8.458555
89.288389,160,8.474883
75.994837,160,8.490605
71.85935,160,8.515234
83.135185,160,8.531295
91.466186,160,8.547801
71.350985,160,8.565179
92.643689,160,8.582118
73.980271,160,8.598858
78.545404,160,8.61563
78.157026,160,8.63233
89.263726,160,8.649302
91.602263,160,8.668781
103.872041,160,8.687871
103.872041,160,8.701216
103.872041,160,8.714153
103.872041,160,8.726659
103.872041,160,8.739437
84.044088,160,8.759647
71.496417,160,8.77795
84.194128,160,8.794666
70.45811,160,8.81938
46.672915,160,8.836234
68.847271,160,8.852555
61.000534,160,8.870542
93.727731,160,8.887856
62.940179,160,8.904393
79.923992,160,8.920834
73.512516,160,8.937592
65.371103,160,8.954444
90.696801,160,8.971783
74.816287,160,8.989049
58.155413,160,9.006099
