env/wind_speed,env/aqi,env/voltage,env/concentration,time/fps,env/energy,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/n_updates,train/approx_kl,train/clip_fraction,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss
2.4988999999999995,50.000620707908396,2.4988999999999995,12.879010872725194,4095,237.86100000000002,0.41653508043601023,0,0.09999999999999998,1,2048,,,,,,,,,,
1.7243999999999995,65.8988577466927,1.7243999999999995,19.568467739068428,2468,117.13895999999995,0.9916171053056622,1,1.6989999999999992,2,4096,10,0.011605093,0.155126953125,0.0003,-1.0872351419180633,9.022472685575485,0.2,-0.051896095275878906,-0.012022278427320999,2.1671876907348633
2.5023,48.59454512192179,2.5023,11.878947946699343,2300,229.87692000000004,1.0886970062234098,2,1.6989999999999994,3,6144,20,0.012232052,0.168603515625,0.0003,-1.093082656338811,8.732253395766019,0.2,0.3233223557472229,-0.009964344672334846,1.8738125562667847
2.0447999999999995,56.25000541846285,2.0447999999999995,14.767960687197833,2262,155.57111999999995,0.8497948185187192,3,1.6989999999999998,4,8192,30,0.011603327,0.19541015625,0.0003,-1.0767784137278795,8.235048438608647,0.2,0.6713107824325562,-0.016149166447576135,2.5094945430755615
2.3476,51.18412313428921,2.3476,12.791932606258856,2240,203.74632,1.1432474120964258,4,1.699,5,10240,40,0.010744065,0.13701171875,0.0003,-1.0781066972762345,8.061451093107461,0.2,0.7105348706245422,-0.013771603116765618,3.1100053787231445
2.2354000000000003,53.143761703811045,2.2354000000000003,13.429196247356783,2243,184.14935999999997,0.5631192076281392,5,0.09999999999999998,6,12288,50,0.006078031,0.03720703125,0.0003,-1.0733782365918159,7.651565305143595,0.2,0.762250542640686,-0.0046872123362845745,1.6704201698303223
2.2563,52.61681917237481,2.2563,13.173850013885536,2241,186.49331999999998,1.3859373231957697,6,1.6989999999999992,7,14336,60,0.0053579463,0.047509765625,0.0003,-1.068566706776619,4.557343946769834,0.2,0.8923538327217102,-0.00504332988493843,0.9988988041877747
2.2832999999999997,52.285914318542794,2.2832999999999997,13.102269151345439,2232,191.7918,1.5169775829058438,7,1.6989999999999994,8,16384,70,0.008574633,0.055419921875,0.0003,-1.0535756785422563,2.384804944694042,0.2,0.9519085884094238,-0.004222400985599961,0.3842679262161255
2.3476999999999997,51.143677743531036,2.3476999999999997,12.609566975880742,2109,201.159,1.2820697320347996,8,1.6989999999999998,9,18432,80,0.011441413,0.11640625,0.0003,-1.0572597648948432,1.9293175753206016,0.2,0.9711881279945374,-0.006297398300375789,0.2999425232410431
2.1945999999999994,53.849346418982734,2.1945999999999994,13.659529920112584,1895,177.35039999999998,1.5380540571807197,10,1.699,10,20480,90,0.016797189,0.2140625,0.0003,-1.0391186732798814,1.987698338739574,0.2,0.9813873767852783,-0.013346595331677235,0.6238605380058289
2.3326,51.360235305769415,2.3326,12.653666736278025,1845,198.1656,0.5762607178087404,12,0.09999999999999998,11,22528,100,0.008248458,0.12861328125,0.0003,-1.0543588671833277,1.3444807700812818,0.2,0.9882744550704956,-0.005924635540577583,0.5264415144920349
2.3275,51.50300996560974,2.3275,12.68242524211668,1794,197.29044,1.5104752270437447,13,1.6989999999999992,12,24576,110,0.008398887,0.0861328125,0.0003,-1.047324186563492,1.1670632759109139,0.2,0.9913796186447144,-0.005388275414588861,0.4062677025794983
2.3971,50.356612889018116,2.3971,12.250896513010034,1800,208.37124,1.5141882697287965,14,1.6989999999999994,13,26624,120,0.010355122,0.119091796875,0.0003,-1.0433655824512242,0.9099424092099071,0.2,0.9930644631385803,-0.006031962568522431,0.24222639203071594
2.3553,51.163683235388675,2.3553,12.483469235777406,1757,201.25475999999998,1.6148761190617207,16,1.6989999999999998,14,28672,130,0.0097784605,0.117041015625,0.0003,-1.0413544040173293,0.8924252147786319,0.2,0.9936975836753845,-0.00950653660693206,0.28465691208839417
2.36,51.09791580195597,2.36,12.442018995587466,1592,201.86496,1.503550739362274,19,1.699,15,30720,140,0.010240011,0.117626953125,0.0003,-1.038808984681964,0.6756653623655439,0.2,0.9954713582992554,-0.007103369248216041,0.3480377793312073
2.3675,50.97092017597759,2.3675,12.368723318888819,1609,202.74444,0.5891744412194534,20,0.09999999999999998,16,32768,150,0.012158954,0.13291015625,0.0003,-1.031109106168151,0.5446933472529054,0.2,0.9958367943763733,-0.00548955987469526,0.2356279343366623
2.3441,51.41692786087899,2.3441,12.482070497858262,1505,198.59508,1.612702159630044,23,1.6989999999999992,17,34816,160,0.014777472,0.147216796875,0.0003,-1.0187608502805232,0.38393056876957415,0.2,0.9973459243774414,-0.0074533299644826915,0.14170265197753906
2.3063999999999996,51.966011365404086,2.3063999999999996,12.690906852956191,1275,192.33719999999997,1.6289500179100564,28,1.6989999999999994,18,36864,170,0.013419343,0.131201171875,0.0003,-1.0057833774015308,0.26066240947693586,0.2,0.9984316229820251,-0.008121456817025318,0.08273638784885406
2.3575,51.22928162574043,2.3575,12.397529921547823,1252,200.68956,1.6601641248498413,31,1.6989999999999998,19,38912,180,0.01424537,0.2544921875,0.0003,-1.0010976048186422,0.2378272464266047,0.2,0.998552143573761,-0.012072531765443272,0.05951376259326935
2.3815999999999997,50.882718777402445,2.3815999999999997,12.262647707952475,1157,204.66,1.6492292025357103,35,1.699,20,40960,190,0.013533735,0.156396484375,0.0003,-0.993100635893643,0.19750023137312384,0.2,0.999079167842865,-0.00804277564457152,0.11288408935070038
