timestep,aqi,voltage,energy,wind_speed,concentration
76900,51.73131501034507,2.336555555555555,198.6164,2.336555555555555,12.642808081339998
77000,51.802425510403744,2.331,197.62415999999996,2.331,12.66655947749827
77100,55.64174677651807,2.038,149.63759999999996,2.038,14.30719795699737
77200,53.830844188351605,2.166,170.3808,2.166,13.567280343658023
77300,53.52046848932907,2.1963333333333335,175.16759999999996,2.1963333333333335,13.387908904251535
77400,52.96573131289897,2.2395,181.92059999999998,2.2395,13.117849963793738
77500,52.71228267270019,2.2557999999999994,184.87367999999998,2.2557999999999994,13.04893056354765
77600,52.24963041115434,2.285833333333333,190.25579999999997,2.285833333333333,12.913823903226644
77700,52.07344017713144,2.2984285714285715,192.1026857142857,2.2984285714285715,12.82481375129965
77800,52.15429145913494,2.29675,192.0411,2.29675,12.85844391799958
77900,51.824392609377306,2.315111111111111,195.02800000000002,2.315111111111111,12.749490631472176
78000,51.75850845910866,2.3187999999999995,195.7176,2.3187999999999995,12.735523571921417
78100,50.63673100808539,2.364,205.3224,2.364,12.638490161750969
78200,49.77954065347431,2.424,213.76080000000002,2.424,12.186044072322732
78300,50.447632252033145,2.3916666666666666,208.4196,2.3916666666666666,12.377406626987806
78400,50.668490051797406,2.3827499999999997,206.7345,2.3827499999999997,12.413494430248047
78500,50.676713385191725,2.389,207.35784,2.389,12.345490758868817
78600,50.82728280288906,2.3805000000000005,206.1102,2.3805000000000005,12.410819666163112
78700,50.648121868631456,2.3892857142857142,207.43662857142854,2.3892857142857142,12.349097635450894
78800,50.82886793265987,2.3789999999999996,205.8579,2.3789999999999996,12.417889711682122
78900,50.89455019960984,2.3775555555555554,205.4744,2.3775555555555554,12.413980039820668
79000,50.79529877840841,2.3844,206.47656,2.3844,12.364390131683868
79100,52.33377980921146,2.287,191.6028,2.287,13.019992169642318
79200,52.531927045627945,2.2904999999999998,191.71979999999996,2.2904999999999998,12.971330072286818
79300,52.09692166439717,2.322333333333333,196.14839999999995,2.322333333333333,12.719234250123499
79400,52.15470252752241,2.3187499999999996,195.4539,2.3187499999999996,12.729444595243189
79500,52.091654227883225,2.3213999999999997,195.534,2.3213999999999997,12.683390133269278
79600,51.82024862522739,2.3335,197.72579999999996,2.3335,12.631271451548194
79700,51.72371204678199,2.334,198.06994285714285,2.334,12.647158989858656
79800,51.381997460552775,2.3526249999999997,201.06135000000003,2.3526249999999997,12.533412525155473
79900,51.50606230231465,2.343888888888889,199.6276,2.343888888888889,12.583972136228418
80000,51.64155490805248,2.3364,198.44783999999999,2.3364,12.632639805887615
80100,50.85731918363243,2.3810000000000002,204.36840000000004,2.3810000000000002,12.253622667672785
80200,50.94957534241594,2.3715,203.66819999999998,2.3715,12.381848559487139
80300,51.37402701238031,2.3476666666666666,199.326,2.3476666666666666,12.481737660126129
80400,52.137719543031565,2.2977499999999997,191.47949999999997,2.2977499999999997,12.795696290574716
80500,52.38766736054633,2.2878000000000003,190.26215999999997,2.2878000000000003,12.894490778535127
80600,52.04212259863322,2.3116666666666665,194.02919999999995,2.3116666666666665,12.744012446625195
80700,51.97132475149432,2.314142857142857,194.4601714285714,2.314142857142857,12.730589124659433
80800,51.779281674219064,2.3246249999999997,196.21844999999996,2.3246249999999997,12.672655588442886
80900,51.87050780335216,2.317222222222222,194.8764,2.317222222222222,12.702799567640062
81000,51.92048418903362,2.3141,194.38955999999996,2.3141,12.721965739571587
81100,54.06877291301158,2.149999999999999,166.5,2.149999999999999,13.559232834146323
81200,53.17960658433127,2.2284999999999995,180.22499999999997,2.2284999999999995,13.195777770874574
81300,52.17994637853722,2.2873333333333337,190.05119999999997,2.2873333333333337,12.870461391048613
81400,51.8556445984369,2.3174999999999994,194.73119999999994,2.3174999999999994,12.678194686481033
81500,52.13028536003343,2.3038,192.69719999999998,2.3038,12.778261182736667
81600,52.13589780889262,2.3073333333333332,193.25399999999996,2.3073333333333332,12.75746346601965
81700,52.10276802587485,2.306571428571428,192.99599999999992,2.306571428571428,12.749442386010159
81800,52.030411076596216,2.3111249999999997,193.87394999999998,2.3111249999999997,12.734850526064514
81900,51.64430036634322,2.332222222222222,197.35439999999997,2.332222222222222,12.614411374051816
82000,51.76923132207138,2.3274999999999997,196.69644,2.3274999999999997,12.654882021485582
